pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22101000,151,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934
22101000,154,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576
22101000,157,0.828,0.83,0.83,0.83,0.83,0.83,0.83,0.83
22101000,158,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
22101000,160,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446
22101001,151,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632
22101001,163,0.224,0.222,0.222,0.222,0.222,0.222,0.222,0.222
22101001,166,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
22101001,168,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298
22102000,151,1.388,1.41,1.41,1.41,1.41,1.41,1.41,1.41
22102000,166,1.548,1.546,1.546,1.546,1.546,1.546,1.546,1.546
22102000,173,0.582,0.583,0.583,0.583,0.583,0.583,0.583,0.583
22102004,149,0.438,0.436,0.436,0.436,0.436,0.436,0.436,0.436
22102005,147,0.842,0.844,0.844,0.844,0.844,0.844,0.844,0.844
22102005,151,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206
22102005,159,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
22102005,164,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658
22102005,166,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462
22102005,169,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
22102009,148,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102009,149,1.368,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22102009,158,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
22102009,162,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716
22102009,174,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972
22102012,164,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
22102013,153,0.904,0.906,0.906,0.906,0.906,0.906,0.906,0.906
22102013,155,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348
22102013,164,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532
22102013,170,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116
22102014,147,1.164,1.154,1.154,1.154,1.154,1.154,1.154,1.154
22102014,150,2.738,2.875,2.875,2.875,2.875,2.875,2.875,2.875
22102014,151,1.812,1.774,1.774,1.774,1.774,1.774,1.774,1.774
22102014,152,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
22102014,153,2.276,2.278,2.278,2.278,2.278,2.278,2.278,2.278
22102014,155,0.966,0.968,0.968,0.968,0.968,0.968,0.968,0.968
22102014,157,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
22102014,159,4.272,4.2,4.2,4.2,4.2,4.2,4.2,4.2
22102014,166,2.04,2.018,2.018,2.018,2.018,2.018,2.018,2.018
22102014,169,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726
22102014,170,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576
22102014,172,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
22102014,173,1.022,1.026,1.026,1.026,1.026,1.026,1.026,1.026
22102014,174,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048
22103001,147,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
22103001,153,0.482,0.482,0.482,0.482,0.482,0.482,0.482,0.482
22103001,174,1.024,1.026,1.026,1.026,1.026,1.026,1.026,1.026
22103003,158,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
22103003,165,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526
22103004,173,4.586,5.542,5.542,5.542,5.542,5.542,5.542,5.542
22103005,157,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22103005,172,1.324,1.322,1.322,1.322,1.322,1.322,1.322,1.322
22103006,150,1.994,1.98,1.98,1.98,1.98,1.98,1.98,1.98
22103006,170,0.964,0.962,0.962,0.962,0.962,0.962,0.962,0.962
22103008,162,0.802,0.798,0.798,0.798,0.798,0.798,0.798,0.798
22103009,146,1.216,1.214,1.214,1.214,1.214,1.214,1.214,1.214
22103010,147,1.158,1.15,1.15,1.15,1.15,1.15,1.15,1.15
22103010,151,2.512,2.622,2.622,2.622,2.622,2.622,2.622,2.622
22103010,154,1.242,1.242,1.242,1.242,1.242,1.242,1.242,1.242
22103011,151,1.526,1.526,1.526,1.526,1.526,1.526,1.526,1.526
22103011,152,1.268,1.268,1.268,1.268,1.268,1.268,1.268,1.268
22103011,155,0.564,0.562,0.562,0.562,0.562,0.562,0.562,0.562
22103011,170,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744
22103012,149,1.552,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22103013,165,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584
22110004,170,0.62,0.616,0.616,0.616,0.616,0.616,0.616,0.616
22110004,174,1.894,1.9,1.9,1.9,1.9,1.9,1.9,1.9
22110085,151,1.176,1.17,1.17,1.17,1.17,1.17,1.17,1.17
22111004,149,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
22111004,153,1.754,1.75,1.75,1.75,1.75,1.75,1.75,1.75
22111004,154,1.17,1.168,1.168,1.168,1.168,1.168,1.168,1.168
22111004,157,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
22111004,158,0.932,0.93,0.93,0.93,0.93,0.93,0.93,0.93
22111004,159,0.766,0.764,0.764,0.764,0.764,0.764,0.764,0.764
22111004,161,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
22111004,163,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488
22111004,169,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
22111006,149,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
22111006,166,1.226,1.232,1.232,1.232,1.232,1.232,1.232,1.232
22111008,151,1.006,1.01,1.01,1.01,1.01,1.01,1.01,1.01
22111008,172,1.456,1.49,1.49,1.49,1.49,1.49,1.49,1.49
22111008,174,0.698,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22111012,149,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516
22111012,153,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464
22111012,157,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348
22111012,161,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
22111012,163,1.164,1.15,1.15,1.15,1.15,1.15,1.15,1.15
22111012,165,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
22111012,168,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
22111026,150,1.182,1.18,1.18,1.18,1.18,1.18,1.18,1.18
22111026,155,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318
22111026,170,0.988,0.984,0.984,0.984,0.984,0.984,0.984,0.984
22111029,151,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298
22111031,151,0.892,0.888,0.888,0.888,0.888,0.888,0.888,0.888
22111031,153,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
22111031,161,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
22111031,169,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356
22120005,153,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382
22130000,151,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264
22130000,160,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
22130000,164,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22130000,170,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318
22130000,174,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274
22130003,164,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.374
22130007,152,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216
22130016,165,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274
22130016,174,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
22130017,153,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284
22130029,165,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582
22130029,174,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
22132010,166,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
22132010,170,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146
22132010,174,0.134,0.132,0.132,0.132,0.132,0.132,0.132,0.132
22160001,161,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
22160001,165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22170001,150,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272
22170001,159,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254
22170001,160,0.764,0.766,0.766,0.766,0.766,0.766,0.766,0.766
22170001,163,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
22170001,170,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
22170001,174,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22171002,163,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258
22171004,154,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416
22171004,157,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
22171004,160,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
22171004,163,0.242,0.24,0.24,0.24,0.24,0.24,0.24,0.24
22171005,153,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
22172007,148,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358
22172007,152,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638
22172008,146,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542
22172012,170,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494
22172012,172,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324
22180002,157,0.436,0.438,0.438,0.438,0.438,0.438,0.438,0.438
22190000,147,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22190000,153,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22190000,173,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22190002,153,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182
22500001,152,0.944,0.95,0.95,0.95,0.95,0.95,0.95,0.95
22500022,147,0.836,0.834,0.834,0.834,0.834,0.834,0.834,0.834
22500022,148,1.734,1.736,1.736,1.736,1.736,1.736,1.736,1.736
22500022,149,2.796,2.646,2.646,2.646,2.646,2.646,2.646,2.646
22500022,150,1.422,1.422,1.422,1.422,1.422,1.422,1.422,1.422
22500022,153,1.458,1.462,1.462,1.462,1.462,1.462,1.462,1.462
22500022,156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22500022,157,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588
22500022,161,1.878,1.9,1.9,1.9,1.9,1.9,1.9,1.9
22500022,164,1.536,1.548,1.548,1.548,1.548,1.548,1.548,1.548
22500022,165,1.408,1.386,1.386,1.386,1.386,1.386,1.386,1.386
22500056,163,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22500056,170,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22500072,152,1.328,1.328,1.328,1.328,1.328,1.328,1.328,1.328
22511000,149,0.104,0.102,0.102,0.102,0.102,0.102,0.102,0.102
22600000,162,7.17,7.0,7.0,7.0,7.0,7.0,7.0,7.0
22600000,174,2.868,2.888,2.888,2.888,2.888,2.888,2.888,2.888
22600002,150,9.06,9.515,9.515,9.515,9.515,9.515,9.515,9.515
22600002,162,3.204,3.31,3.31,3.31,3.31,3.31,3.31,3.31
22600002,166,1.55,1.552,1.552,1.552,1.552,1.552,1.552,1.552
22600002,167,1.986,1.974,1.974,1.974,1.974,1.974,1.974,1.974
22600002,170,2.638,2.572,2.572,2.572,2.572,2.572,2.572,2.572
22601000,151,1.216,1.212,1.212,1.212,1.212,1.212,1.212,1.212
22601000,159,1.622,1.642,1.642,1.642,1.642,1.642,1.642,1.642
22601000,161,0.858,0.856,0.856,0.856,0.856,0.856,0.856,0.856
22601000,162,1.098,1.094,1.094,1.094,1.094,1.094,1.094,1.094
22601000,168,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
22601000,170,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
22601000,172,1.326,1.326,1.326,1.326,1.326,1.326,1.326,1.326
22603000,155,0.698,0.696,0.696,0.696,0.696,0.696,0.696,0.696
22603000,170,1.934,1.938,1.938,1.938,1.938,1.938,1.938,1.938
22603001,146,1.008,1.006,1.006,1.006,1.006,1.006,1.006,1.006
22603001,150,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
22603002,150,0.892,0.89,0.89,0.89,0.89,0.89,0.89,0.89
22604000,153,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
22604000,164,1.548,1.56,1.56,1.56,1.56,1.56,1.56,1.56
22604000,170,0.708,0.706,0.706,0.706,0.706,0.706,0.706,0.706
22604000,173,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
22610000,154,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658
22610002,162,0.544,0.544,0.544,0.544,0.544,0.544,0.544,0.544
22610004,153,0.994,0.996,0.996,0.996,0.996,0.996,0.996,0.996
22610103,152,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394
22610103,156,1.076,1.078,1.078,1.078,1.078,1.078,1.078,1.078
22610103,159,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516
22610103,160,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324
22620012,170,0.826,0.826,0.826,0.826,0.826,0.826,0.826,0.826
22621002,146,0.512,0.512,0.512,0.512,0.512,0.512,0.512,0.512
22621002,156,0.686,0.692,0.692,0.692,0.692,0.692,0.692,0.692
22621002,162,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.448
22622000,155,0.674,0.678,0.678,0.678,0.678,0.678,0.678,0.678
22630000,154,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22630009,148,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604
22630009,152,1.55,1.56,1.56,1.56,1.56,1.56,1.56,1.56
22630009,153,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
22630009,165,0.798,0.804,0.804,0.804,0.804,0.804,0.804,0.804
22630009,169,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416
22630009,170,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22630010,146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22630010,158,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
22630049,153,1.812,1.782,1.782,1.782,1.782,1.782,1.782,1.782
22631002,150,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
22631002,151,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
22631002,165,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
22671053,166,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.996
22671060,159,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502
22671070,152,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
22671070,165,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626
22671070,173,2.168,2.178,2.178,2.178,2.178,2.178,2.178,2.178
22671071,151,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208
22671071,169,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
22671072,173,0.896,0.9,0.9,0.9,0.9,0.9,0.9,0.9
22671075,151,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
22671076,151,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
22671076,168,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22671077,148,0.974,0.978,0.978,0.978,0.978,0.978,0.978,0.978
22671077,151,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
22671077,173,1.496,1.496,1.496,1.496,1.496,1.496,1.496,1.496
22671078,173,0.85,0.852,0.852,0.852,0.852,0.852,0.852,0.852
22671079,148,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782
22700000,159,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458
22701000,159,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268
22701014,147,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014
22701014,167,1.274,1.274,1.274,1.274,1.274,1.274,1.274,1.274
