pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
22040,5.946,2.813,1.379,3.173,0.001,3.264
22041,0.0,0.0,0.282,0.0,0.696,0.0
22042,0.0,0.0,0.0,0.0,0.0,2.2880000000000003
22071,0.0,0.037000000000000005,0.189,0.0,0.003,0.0
22100,1.3599999999999999,2.828,7.905,11.778000000000002,13.86,9.261000000000001
22101,11.045999999999996,9.576,5.986,8.574000000000002,9.379999999999999,5.029999999999999
22102,43.483999999999995,29.506000000000007,58.782999999999994,68.70200000000004,76.50000000000007,34.086000000000006
22103,48.427,28.159,41.369,22.609999999999996,40.288,25.569999999999997
22110,4.098,6.518,0.0,1.032,0.0,4.378
22111,38.76200000000001,25.804,27.999999999999996,24.102000000000004,36.178000000000004,20.168000000000003
22120,25.038000000000007,278.25899999999996,3.619,2.02,0.292,0.382
22130,16.606,23.56300000000001,19.415999999999993,6.196000000000001,3.892,4.462
22131,0.0,0.942,1.6239999999999999,0.0,0.0,0.0
22132,1.139,1.152,1.3239999999999998,0.596,0.496,0.468
22160,1.46,0.41,0.5720000000000001,0.0,0.0,2.056
22170,4.4879999999999995,3.092,2.4120000000000004,2.9940000000000007,2.4880000000000004,1.974
22171,3.7620000000000005,1.3980000000000001,0.8420000000000001,1.252,2.192,1.6400000000000001
22172,13.962999999999997,6.151999999999999,11.202,8.985999999999999,7.177,1.894
22180,1.392,3.466,0.756,0.0,0.33,0.436
22190,10.913999999999998,7.292,3.9460000000000006,0.21400000000000002,0.428,0.187
22500,4.868000000000002,29.799,14.319999999999999,26.887,28.233999999999995,10.142999999999999
22501,0.0,0.0,0.742,0.62,0.0,0.122
22503,386.0,0.632,0.0,0.7,0.0,0.0
22511,0.44799999999999995,1.354,0.616,392.44,0.42200000000000004,0.0
22520,0.0,15.0,0.0,0.0,0.0,0.0
22600,20.884,4.444,14.312000000000001,43.208000000000006,37.384,24.933999999999997
22601,22.924,11.36,25.034000000000002,12.926000000000002,10.553999999999998,15.342
22602,0.33,1.492,0.0,0.0,0.0,0.43200000000000005
22603,1.354,0.74,2.696,9.786,7.36,3.2880000000000003
22604,0.43799999999999994,0.0,0.6,2.612,3.2699999999999996,3.5079999999999996
22610,0.48,1.05,2.018,3.226,1.99,4.506
22620,0.0,0.622,0.0,0.0,0.0,0.826
22621,0.358,0.0,0.622,0.386,0.964,1.134
22622,0.0,0.0,0.0,0.0,0.0,1.4500000000000002
22630,2.2640000000000002,3.8160000000000003,2.5799999999999996,6.517999999999999,8.16,10.524
22631,2.746,2.54,1.5939999999999999,3.89,1.284,0.5860000000000001
22671,4.142,2.436,4.99,7.367000000000003,3.258,14.506
22700,0.0,0.0,0.0,0.001,0.0,0.45799999999999996
22701,5.03,6.8340000000000005,9.64,1.134,2.662,6.482
22702,1.94,2.292,0.632,3.876000000000001,1.03,1.736
22710,6.542,0.0,0.0,0.0,0.0,0.0
22711,4.266,0.442,0.0,0.0,0.0,0.0
22712,1.04,0.3,0.302,0.0,0.0,0.0
22713,7.738000000000001,0.19,0.282,0.204,0.0,0.0
22714,2.8560000000000003,0.546,0.0,0.0,0.0,0.0
22715,4.7780000000000005,0.752,0.0,0.0,0.0,0.0
22716,3.2700000000000005,2.158,0.0,0.0,0.0,0.0
22800,0.336,0.314,2.1580000000000004,2.722,0.9620000000000001,5.608
22801,0.0,0.498,0.522,0.3,0.0,1.5679999999999998
22802,0.91,2.1879999999999997,1.734,3.492,1.346,2.144
22820,0.0,0.0,0.0,0.06,0.0,0.0
22821,0.0,0.0,0.46799999999999997,0.486,0.0,0.0
22830,0.728,0.878,0.49,0.742,0.332,0.242
22840,0.254,0.23199999999999998,0.0,0.0,0.0,1.382
22850,0.0,0.0,0.374,1.54,0.0,0.0
22851,0.0,0.0,0.364,0.5640000000000001,0.0,0.512
22852,0.0,0.0,0.0,0.0,0.0,0.506
22860,0.0,0.0,0.0,4.0,0.006999999999999999,0.0
22870,0.0,1.2340000000000002,0.176,0.08800000000000001,0.0,0.0
22900,0.11599999999999999,0.126,0.094,0.20400000000000001,0.0,0.0
22901,0.0,0.0,0.086,0.18,0.068,0.0
22902,0.0,0.16399999999999998,0.0,0.0,0.0,0.32399999999999995
23110,1711.0579999999998,1696.934,2429.926,1818.3529999999998,1121.946,1046.654
23112,6.0,6.0,6.0,4.482,4.0,4.0
23113,5.0,13.0,9.0,11.0,14.0,28.0
23120,7.2379999999999995,1.5480000000000003,2.8000000000000003,2.9179999999999997,10.178,5.3260000000000005
23121,4.662000000000001,1.992,3.0060000000000002,1.7799999999999998,2.194,1.0
23130,0.0,4.0,0.0,1.0,1.0,5.0
23131,0.012000000000000004,0.010000000000000002,0.016000000000000007,0.014000000000000005,0.02000000000000001,0.009000000000000001
23132,3.458,2.698,5.226,12.338000000000001,8.394,10.853000000000002
23133,4.0,0.0,0.0,0.0,0.0,0.0
23134,5.409999999999999,0.311,1.167,0.35500000000000004,2.5520000000000005,2.789
23135,3.0,1.0,1.0,0.0,1.0,1.0
23141,0.0,0.0,0.0,0.0,0.0,18.0
23142,0.312,0.0,0.544,0.0,23.0,0.4500000000000001
23150,0.0,1.0,0.0,0.0,0.0,0.0
23171,0.776,0.0,0.0,0.0,0.0,0.0
24000,14.172000000000002,6.053999999999999,2.8680000000000003,5.384,1.092,10.457000000000003
24010,18.872,14.419999999999998,20.362000000000002,17.229999999999997,27.793999999999997,23.68
24011,5.806000000000001,10.146,9.324000000000002,11.616,7.8919999999999995,9.392
24012,6.482000000000001,2.6439999999999997,1.96,2.0,0.6679999999999999,0.556
24030,2.798,0.266,0.258,0.268,0.0,3.1960000000000006
24032,0.266,0.0,0.0,0.0,0.0,0.0
24100,4.922,3.24,2.076,2.264,3.56,2.938
24101,11.212,8.386000000000001,14.114,10.474,9.547999999999998,10.870000000000001
24102,2.068,0.8220000000000001,0.67,2.706,0.87,0.734
24110,0.0,0.0,0.0,1.5,0.0,0.0
24111,0.0,0.0,0.0,0.9640000000000001,0.868,0.8320000000000001
24112,0.27,0.001,0.284,1.4299999999999997,0.0,0.0
24220,0.0,0.38799999999999996,0.596,0.278,0.32799999999999996,0.0
24400,0.0,0.0,0.20199999999999999,0.43799999999999994,0.0,0.0
