pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10136001,1.0,1.0,0.0,0.0,4.0,1.0
10136004,1.0,0.0,0.0,0.0,0.0,0.0
10136005,1.0,0.0,0.0,0.0,0.0,0.0
10136006,2.0,0.0,0.0,0.0,2.0,0.0
10136007,0.0,0.0,0.0,0.0,0.0,2.0
10136008,1.0,3.0,4.0,0.0,0.0,3.0
10136010,0.0,0.0,0.0,0.0,0.0,1.0
10137009,2.0,3.0,1.0,0.0,0.0,3.0
10137010,0.0,0.0,1.0,0.0,0.0,0.0
10137011,0.0,2.0,1.0,0.0,1.0,0.0
10137012,0.0,2.0,2.0,0.0,1.0,0.0
10140002,6.0,8.0,5.0,7.0,3.0,9.0
10140003,0.0,0.0,1.0,0.0,1.0,0.0
10140005,0.0,1.0,0.0,0.0,0.0,0.0
10140006,0.0,0.0,2.0,2.0,2.0,29.0
10141000,1.0,1.0,0.0,0.0,0.0,0.0
10141002,3.0,0.0,1.0,0.0,0.0,0.0
10141004,0.0,1.0,0.0,0.0,0.0,0.0
10141005,2.0,2.0,2.0,8.0,4.0,0.0
10141006,0.0,0.0,16.0,0.0,0.0,14.0
10141007,0.0,1.0,6.0,0.0,0.0,0.0
10141010,0.0,0.0,0.0,1.0,0.0,0.0
10141012,1.0,0.0,2.0,1.0,1.0,7.0
10141014,0.0,1.0,0.0,0.0,1.0,0.0
10141015,0.0,0.0,0.0,0.0,1.0,0.0
10141019,1.0,0.0,1.0,0.0,0.0,29.0
10141020,1.0,0.0,0.0,0.0,0.0,0.0
10141021,0.0,2.0,0.0,0.0,2.0,0.0
10141023,1.0,0.0,1.0,0.0,0.0,0.0
10141025,2.0,3.0,2.0,1.0,7.0,0.0
10141026,0.0,0.0,3.0,0.0,0.0,0.0
10141028,0.0,0.0,0.0,0.0,0.0,6.0
10141030,5.0,3.0,7.0,0.0,0.0,6.0
10141032,0.0,0.0,0.0,0.0,2.0,1.0
10141038,7.0,4.0,4.0,10.0,5.0,5.0
10141039,1.0,1.0,4.0,2.0,1.0,0.0
10141040,2.0,6.0,0.0,0.0,1.0,3.0
10141041,2.0,1.0,7.0,0.0,2.0,0.0
10141042,2.0,9.0,5.0,2.0,6.0,8.0
10141044,0.0,4.0,2.0,1.0,4.0,8.0
10141045,0.0,1.0,0.0,0.0,0.0,0.0
10141046,4.0,0.0,6.0,0.0,0.0,0.0
10141047,0.0,1.0,0.0,1.0,1.0,0.0
10141048,0.0,2.0,0.0,1.0,1.0,1.0
10141049,0.0,1.0,0.0,2.0,0.0,0.0
10141056,0.0,0.0,1.0,0.0,0.0,0.0
10141063,0.0,0.0,1.0,2.0,0.0,2.0
10141069,0.0,0.0,0.0,4.0,8.0,0.0
10141070,1.0,1.0,0.0,0.0,0.0,0.0
10141071,0.0,2.0,2.0,0.0,0.0,0.0
10141072,0.0,2.0,1.0,0.0,0.0,0.0
10141080,4.0,0.0,0.0,0.0,1.0,0.0
10141083,0.0,0.0,0.0,1.0,0.0,0.0
10141090,0.0,0.0,0.0,0.0,2.0,0.0
10141091,0.0,0.0,0.0,0.0,0.0,1.0
10141095,0.0,0.0,0.0,2.0,0.0,0.0
10141096,0.0,0.0,0.0,0.0,1.0,0.0
10141139,0.0,0.0,0.0,0.0,0.0,1.0
10150003,0.0,0.0,1.0,3.0,1.0,0.0
10150004,2.0,2.0,5.0,4.0,8.0,1.0
10150006,10.0,2.0,0.0,0.0,0.0,0.0
10150007,0.0,1.0,0.0,0.0,0.0,0.0
10150009,0.0,0.0,1.0,0.0,1.0,0.0
10150010,0.0,0.0,2.0,0.0,0.0,0.0
10150012,0.0,2.0,0.0,0.0,0.0,0.0
10150013,0.0,0.0,0.0,1.0,3.0,0.0
10150015,0.0,0.0,2.0,0.0,1.0,0.0
10150016,1.0,5.0,2.0,2.0,3.0,0.0
10150017,1.0,0.0,0.0,0.0,1.0,0.0
10150018,0.0,1.0,0.0,2.0,1.0,2.0
10150019,0.0,2.0,3.0,3.0,1.0,0.0
10150020,1.0,1.0,0.0,0.0,0.0,0.0
10150021,1.0,0.0,1.0,0.0,1.0,1.0
10150022,0.0,0.0,3.0,1.0,0.0,0.0
10150023,2.0,0.0,0.0,0.0,0.0,1.0
10150024,1.0,0.0,0.0,0.0,1.0,0.0
10150025,1.0,0.0,0.0,0.0,1.0,0.0
10150026,1.0,0.0,0.0,0.0,0.0,1.0
10150027,0.0,0.0,0.0,1.0,0.0,0.0
10150031,0.0,0.0,0.0,0.0,1.0,0.0
10150034,0.0,0.0,0.0,0.0,1.0,0.0
10150035,0.0,1.0,0.0,0.0,0.0,0.0
10150036,1.0,0.0,0.0,0.0,0.0,0.0
10150037,0.0,2.0,0.0,0.0,0.0,0.0
10150038,0.0,0.0,1.0,1.0,1.0,1.0
10150040,0.0,0.0,1.0,0.0,0.0,0.0
10150041,0.0,1.0,0.0,0.0,0.0,0.0
10150044,0.0,0.0,0.0,1.0,0.0,0.0
10150046,0.0,1.0,1.0,0.0,0.0,0.0
10150047,0.0,1.0,0.0,0.0,0.0,0.0
10150048,0.0,0.0,0.0,1.0,1.0,1.0
10150049,0.0,0.0,0.0,2.0,30.0,2.0
10150050,0.0,0.0,0.0,1.0,0.0,0.0
10151001,0.0,4.0,1.0,0.0,0.0,0.0
10151002,5.0,1.0,20.0,0.0,11.0,13.0
10151005,0.0,0.0,0.0,1.0,0.0,1.0
10151012,0.0,0.0,0.0,0.0,0.0,1.0
10151023,0.0,0.0,0.0,0.0,0.0,1.0
10152002,0.0,0.0,1.0,0.0,0.0,0.0
10152007,0.0,0.0,2.0,0.0,0.0,0.0
10152009,0.0,0.0,0.0,0.0,0.0,2.0
10152011,3.0,0.0,0.0,0.0,0.0,0.0
10152012,0.0,0.0,1.0,0.0,2.0,1.0
10152013,0.0,0.0,9.0,1.0,2.0,3.0
10152015,0.0,0.0,0.0,0.0,1.0,0.0
10152021,0.0,1.0,0.0,0.0,0.0,0.0
10152022,0.0,0.0,0.0,0.0,1.0,2.0
10152024,0.0,0.0,1.0,0.0,0.0,1.0
10152032,0.0,0.0,0.0,0.0,0.0,1.0
10153004,1.0,0.0,0.0,0.0,0.0,0.0
10200003,0.0,2.0,0.0,0.0,0.0,0.0
10200004,0.0,2.0,0.0,0.0,1.0,0.0
10200005,0.0,0.0,0.0,0.0,0.0,1.0
10200006,0.0,2.0,0.0,2.0,0.0,0.0
10200010,0.0,0.0,0.0,2.0,0.0,0.0
10200011,0.0,1.0,0.0,0.0,0.0,0.0
10200012,0.0,1.0,0.0,0.0,0.0,0.0
10200013,0.0,0.0,0.0,1.0,0.0,0.0
10200019,0.0,0.0,1.0,0.0,0.0,0.0
10200021,2.0,0.0,0.0,0.0,0.0,0.0
10200025,1.0,0.0,0.0,0.0,0.0,0.0
10200034,0.0,1.0,0.0,0.0,0.0,0.0
10200035,1.0,0.0,0.0,0.0,0.0,1.0
10200036,0.0,2.0,0.0,0.0,0.0,0.0
10200038,0.0,1.0,0.0,0.0,0.0,1.0
10200040,0.0,1.0,0.0,0.0,0.0,0.0
10200042,1.0,0.0,0.0,0.0,0.0,0.0
10200045,0.0,0.0,0.0,0.0,1.0,0.0
10200046,0.0,0.0,0.0,0.0,1.0,0.0
10201000,2.0,0.0,0.0,0.0,0.0,0.0
10201001,0.0,0.0,2.0,0.0,0.0,0.0
10201004,1.0,0.0,0.0,0.0,0.0,0.0
10201006,0.0,0.0,20.0,0.0,0.0,0.0
10201007,3.0,3.0,3.0,2.0,0.0,0.0
10201010,0.0,1.0,0.0,0.0,0.0,0.0
10201013,0.0,0.0,0.0,0.0,0.0,1.0
10201014,5.0,1.0,0.0,2.0,0.0,0.0
10201015,1.0,0.0,1.0,0.0,0.0,1.0
10201016,10.0,4.0,12.0,8.0,0.0,0.0
10201017,0.0,0.0,0.0,0.0,17.0,0.0
10201020,0.0,0.0,0.0,14.0,7.0,0.0
10201021,1.0,0.0,0.0,0.0,0.0,0.0
10201022,1.0,0.0,0.0,0.0,0.0,0.0
10201023,0.0,1.0,0.0,0.0,0.0,0.0
10201029,24.0,0.0,0.0,0.0,2.0,0.0
10201030,3.0,4.0,3.0,0.0,0.0,0.0
10202001,0.0,1.0,0.0,0.0,0.0,0.0
10203000,0.0,0.0,0.0,0.0,0.0,1.0
