pluno,4avg2,4max2,4min2,4avg3,4max3,4min3,4avg4,4max4,4min4,3avg2,3max2,3min2,3avg3,3max3,3min3,3avg4,3max4,3min4,2avg2,2max2,2min2,2avg3,2max3,2min3,2avg4,2max4,2min4,1avg2,1max2,1min2,1avg3,1max3,1min3,1avg4,1max4,1min4
22000031,191.14285714285714,1338,0.0,345.14285714285717,1212.0,0.0,136.57142857142858,956.0,0.0,2805.0,7318.0,0.0,3272.1428571428573,5777.0,192.0,2202.4285714285716,5748.0,0.0,6574.285714285715,17278.0,7.0,5608.857142857143,9460.0,746.0,18762.428571428572,49054.0,3130.0,14469.857142857143,32156.0,3887.0,15143.714285714286,26044.0,4344.0,28616.714285714286,62310.0,9795.0
22000049,0.0,0.0,0.0,100.57142857142857,704.0,0.0,0.0,0.0,0.0,2288.714285714286,6406.0,0.0,2068.5714285714284,4800.0,378.0,1331.142857142857,3976.0,0.0,9466.42857142857,20858.0,4744.0,9506.714285714286,12438.0,4220.0,7239.571428571428,12408.0,0.0,19506.285714285714,30752.0,9216.0,24435.14285714286,39188.0,16735.0,32542.14285714286,129742.0,10164.0
22000049,289.2857142857143,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.4285714285713,4685.0,0.0,2605.1428571428573,4234.0,834.0,2009.857142857143,6406.0,0.0,7034.571428571428,15165.0,1879.0,7632.0,9806.0,4515.0,9234.42857142857,20858.0,4220.0,13719.142857142857,29563.0,4611.0,14327.857142857143,21698.0,8733.0,21487.0,30752.0,9216.0
22000049,289.2857142857143,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664.0,7366.0,0.0,2665.4285714285716,4234.0,834.0,2288.714285714286,6406.0,0.0,6784.857142857143,13417.0,1879.0,8963.57142857143,15165.0,4515.0,9466.42857142857,20858.0,4744.0,12918.57142857143,23959.0,4611.0,16742.285714285714,29563.0,8733.0,19506.285714285714,30752.0,9216.0
22000049,273.42857142857144,1914.0,0.0,289.2857142857143,2025.0,0.0,0.0,0.0,0.0,3788.1428571428573,11278.0,5.0,2035.4285714285713,4685.0,0.0,2605.1428571428573,4234.0,834.0,7059.857142857143,13417.0,2544.0,7034.571428571428,15165.0,1879.0,7632.0,9806.0,4515.0,13418.285714285714,23959.0,5854.0,13719.142857142857,29563.0,4611.0,14327.857142857143,21698.0,8733.0
22000049,551.4285714285714,3164.0,0.0,1196.857142857143,3350.0,0.0,273.42857142857144,1914.0,0.0,2665.4285714285716,6320.0,0.0,4068.285714285714,8026.0,1002.0,3788.1428571428573,11278.0,5.0,6422.285714285715,11175.0,2447.0,7696.428571428572,13800.0,2068.0,7059.857142857143,13417.0,2544.0,16922.85714285714,31066.0,9616.0,56902.42857142857,283160.0,7248.0,13418.285714285714,23959.0,5854.0
22000049,153.71428571428572,696.0,0.0,1481.7142857142858,3350.0,0.0,440.57142857142856,1914.0,0.0,2483.714285714286,5048.0,0.0,4544.0,8026.0,1002.0,3163.0,11278.0,5.0,6410.0,11175.0,2447.0,7937.857142857143,13800.0,2068.0,6408.857142857143,12366.0,2544.0,19048.14285714286,31066.0,9616.0,55386.142857142855,283160.0,7248.0,13374.142857142857,23650.0,5854.0
22000049,493.57142857142856,2406.0,0.0,200.28571428571428,1022.0,0.0,1166.0,3350.0,0.0,3230.1428571428573,7600.0,0.0,1920.5714285714287,5048.0,0.0,4314.0,8026.0,1002.0,7120.571428571428,12534.0,1462.0,5645.285714285715,10950.0,970.0,8613.857142857143,13800.0,2068.0,12706.714285714286,23944.0,2784.0,15148.285714285714,27913.0,4395.0,18336.285714285714,31066.0,7248.0
22000049,493.42857142857144,2406.0,0.0,200.42857142857142,1022.0,0.0,687.4285714285714,3164.0,0.0,3353.0,7600.0,0.0,1951.4285714285713,5048.0,0.0,3524.1428571428573,8026.0,865.0,7373.142857142857,12534.0,1462.0,5736.571428571428,10950.0,970.0,6992.0,11331.0,2068.0,13765.285714285714,23944.0,2784.0,14737.714285714286,27913.0,4395.0,15704.285714285714,31066.0,7248.0
22000049,493.42857142857144,2406.0,0.0,200.42857142857142,1022.0,0.0,687.4285714285714,3164.0,0.0,2999.8571428571427,7600.0,0.0,2808.8571428571427,6002.0,0.0,3381.0,8026.0,0.0,6974.571428571428,12534.0,1462.0,6679.428571428572,10950.0,970.0,7102.285714285715,11331.0,2447.0,13757.714285714286,23944.0,2784.0,14149.57142857143,27913.0,4395.0,17206.285714285714,31066.0,9616.0
