pluno,avg2,max2,min2,avg3,max3,min3,avg4,max4,min4
22001006,191.71428571428572,1342.0,0.0,1571.7142857142858,5326.0,0.0,806.2857142857143,3454.0,0.0
22001006,213.42857142857142,1494.0,0.0,297.42857142857144,1342.0,0.0,1959.4285714285713,5326.0,0.0
22001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001008,666.8571428571429,3488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001008,120.0,840.0,0.0,666.8571428571429,3488.0,0.0,0.0,0.0,0.0
22001008,712.2857142857143,3018.0,0.0,120.0,840.0,0.0,666.8571428571429,3488.0,0.0
22001008,525.1428571428571,1634.0,0.0,338.57142857142856,2370.0,0.0,782.5714285714286,3018.0,0.0
22001008,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0,782.5714285714286,3018.0,0.0
22001008,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0,684.8571428571429,3018.0,0.0
22001008,866.5714285714286,5084.0,0.0,525.1428571428571,1634.0,0.0,338.57142857142856,2370.0,0.0
22001008,2051.4285714285716,5714.0,0.0,233.42857142857142,1634.0,0.0,630.2857142857143,2370.0,0.0
22001008,1743.7142857142858,5218.0,0.0,2108.285714285714,5714.0,0.0,233.42857142857142,1634.0,0.0
22001008,1108.857142857143,3530.0,0.0,750.5714285714286,2356.0,0.0,393.14285714285717,960.0,0.0
22001012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,666.8571428571429,3488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,666.8571428571429,3488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22001038,782.5714285714286,3018.0,0.0,303.42857142857144,1284.0,0.0,666.8571428571429,3488.0,0.0
22001038,684.8571428571429,3018.0,0.0,401.14285714285717,1284.0,0.0,666.8571428571429,3488.0,0.0
22001038,253.71428571428572,1776.0,0.0,712.2857142857143,3018.0,0.0,618.2857142857143,3488.0,0.0
22001038,233.42857142857142,1634.0,0.0,630.2857142857143,2370.0,0.0,253.71428571428572,1776.0,0.0
22001038,233.42857142857142,1634.0,0.0,630.2857142857143,2370.0,0.0,253.71428571428572,1776.0,0.0
