pluno, d-1,d-2,d-3,d-4,d-5,d-6,d-7
22008012,4930.0,920.0,1.0,0.0,1712.0,0.0,602.0
22008012,0.0,2634.0,6080.0,4930.0,920.0,1.0,0.0
22008012,750.0,1210.0,1948.0,0.0,2634.0,6080.0,4930.0
22008012,0.0,1874.0,3492.0,750.0,1210.0,1948.0,0.0
22008012,0.0,1.0,1726.0,0.0,1874.0,3492.0,750.0
22008012,0.0,0.0,0.0,0.0,0.0,3032.0,0.0
22008012,0.0,0.0,0.0,0.0,390.0,0.0,0.0
22008017,0.0,0.0,702.0,2781.0,2120.0,1260.0,976.0
22008019,248.0,662.0,8686.0,1010.0,1.0,0.0,0.0
22008019,3330.0,0.0,0.0,0.0,2760.0,6215.0,248.0
22008019,0.0,0.0,0.0,592.0,3022.0,1078.0,1410.0
22008019,1258.0,5886.0,0.0,0.0,0.0,592.0,3022.0
22008019,2697.0,1258.0,5886.0,0.0,0.0,0.0,592.0
22008019,2544.0,2697.0,1258.0,5886.0,0.0,0.0,0.0
22008019,2342.0,858.0,0.0,854.0,2544.0,2697.0,1258.0
22008019,2754.0,2342.0,858.0,0.0,854.0,2544.0,2697.0
22008019,2120.0,1260.0,976.0,3152.0,2754.0,2342.0,858.0
22008019,2781.0,2120.0,1260.0,976.0,3152.0,2754.0,2342.0
22008019,0.0,0.0,702.0,2781.0,2120.0,1260.0,976.0
22008019,1714.0,0.0,1572.0,2282.0,0.0,0.0,702.0
22008019,0.0,0.0,3650.0,1714.0,0.0,1572.0,2282.0
22008019,2340.0,0.0,8.0,982.0,920.0,0.0,0.0
22008019,1002.0,2340.0,0.0,8.0,982.0,920.0,0.0
22008019,3297.0,2430.0,1856.0,1002.0,2340.0,0.0,8.0
22008019,609.0,1474.0,3297.0,2430.0,1856.0,1002.0,2340.0
22008019,2170.0,0.0,865.0,609.0,1474.0,3297.0,2430.0
22008019,408.0,0.0,1346.0,2170.0,0.0,865.0,609.0
22008019,1080.0,2422.0,408.0,0.0,1346.0,2170.0,0.0
22008019,0.0,3982.0,1080.0,2422.0,408.0,0.0,1346.0
22008019,1142.0,0.0,3982.0,1080.0,2422.0,408.0,0.0
22008019,0.0,0.0,3607.0,1142.0,0.0,3982.0,1080.0
22008019,0.0,865.0,0.0,0.0,3607.0,1142.0,0.0
22008019,496.0,288.0,3250.0,0.0,865.0,0.0,0.0
22008019,0.0,1118.0,496.0,288.0,3250.0,0.0,865.0
22008019,0.0,4642.0,0.0,2810.0,0.0,1118.0,496.0
22008019,0.0,0.0,6748.0,0.0,4642.0,0.0,2810.0
22008019,1594.0,1104.0,0.0,0.0,6748.0,0.0,4642.0
22008019,1922.0,2364.0,1594.0,1104.0,0.0,0.0,6748.0
22008019,2041.0,1922.0,2364.0,1594.0,1104.0,0.0,0.0
22008019,0.0,2694.0,5742.0,2041.0,1922.0,2364.0,1594.0
22008019,3176.0,1110.0,0.0,2694.0,5742.0,2041.0,1922.0
