pluno,time,qty,d,d+1,d+2,d+3,d+4,d+5,d+6
22102014,0,1.992,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22102014,2,0.342,0.316,0.316,0.316,0.316,0.316,0.316,0.316
22102014,3,1.532,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22102014,6,0.678,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22102014,147,1.164,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,150,2.738,2.088,2.088,2.088,2.088,2.088,2.088,2.088
22102014,151,1.812,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,152,0.39,0.394,0.394,0.394,0.394,0.394,0.394,0.394
22102014,153,2.276,0.496,0.496,0.496,0.496,0.496,0.496,0.496
22102014,155,0.966,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,157,0.466,0.47,0.47,0.47,0.47,0.47,0.47,0.47
22102014,159,4.272,2.304,2.304,2.304,2.304,2.304,2.304,2.304
22102014,166,2.04,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,169,0.726,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102014,170,0.576,0.676,0.676,0.676,0.676,0.676,0.676,0.676
22102014,172,0.73,0.908,0.908,0.908,0.908,0.908,0.908,0.908
22102014,173,1.022,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22102014,174,1.048,1.47,1.47,1.47,1.47,1.47,1.47,1.47
22103000,2,0.408,0.448,0.448,0.448,0.448,0.448,0.448,0.448
22103000,5,1.892,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22103001,5,0.784,0.978,0.978,0.978,0.978,0.978,0.978,0.978
22103001,147,0.84,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103001,153,0.482,0.504,0.504,0.504,0.504,0.504,0.504,0.504
22103001,174,1.024,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103003,158,0.57,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103003,165,0.526,0.556,0.556,0.556,0.556,0.556,0.556,0.556
22103004,0,2.588,1.132,1.132,1.132,1.132,1.132,1.132,1.132
22103004,3,5.773,1.692,1.692,1.692,1.692,1.692,1.692,1.692
22103004,5,3.936,2.036,2.036,2.036,2.036,2.036,2.036,2.036
22103004,173,4.586,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103005,0,0.508,0.448,0.448,0.448,0.448,0.448,0.448,0.448
22103005,3,1.066,1.132,1.132,1.132,1.132,1.132,1.132,1.132
22103005,4,1.07,1.132,1.132,1.132,1.132,1.132,1.132,1.132
22103005,6,0.99,0.928,0.928,0.928,0.928,0.928,0.928,0.928
22103005,157,0.556,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103005,172,1.324,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103006,3,1.106,1.132,1.132,1.132,1.132,1.132,1.132,1.132
22103006,150,1.994,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103006,170,0.964,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103007,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22103008,162,0.802,0.818,0.818,0.818,0.818,0.818,0.818,0.818
22103009,146,1.216,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,147,1.158,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,151,2.512,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103010,154,1.242,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103011,151,1.526,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103011,152,1.268,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103011,155,0.564,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103011,170,0.744,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22103012,149,1.552,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22103013,2,0.288,0.21,0.21,0.21,0.21,0.21,0.21,0.21
22103013,165,0.584,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22110003,3,1.296,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22110004,170,0.62,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22110004,174,1.894,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22110085,151,1.176,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22111004,3,0.714,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111004,5,2.97,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111004,149,0.76,0.664,0.664,0.664,0.664,0.664,0.664,0.664
22111004,153,1.754,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22111004,154,1.17,1.168,1.168,1.168,1.168,1.168,1.168,1.168
22111004,157,0.37,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111004,158,0.932,2.39,2.39,2.39,2.39,2.39,2.39,2.39
22111004,159,0.766,0.664,0.664,0.664,0.664,0.664,0.664,0.664
22111004,161,0.3,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111004,163,0.488,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111004,169,0.52,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22111006,149,0.694,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22111006,166,1.226,1.368,1.368,1.368,1.368,1.368,1.368,1.368
22111008,0,0.826,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111008,151,1.006,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22111008,172,1.456,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22111008,174,0.698,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111012,5,0.802,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111012,149,0.516,0.574,0.574,0.574,0.574,0.574,0.574,0.574
22111012,153,0.464,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111012,157,0.348,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111012,161,0.32,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111012,163,1.164,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22111012,165,0.51,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111012,168,0.552,0.54,0.54,0.54,0.54,0.54,0.54,0.54
22111015,1,1.234,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111026,150,1.182,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111026,155,0.318,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111026,170,0.988,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111029,5,0.562,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22111029,151,0.298,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111031,145,0.996,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22111031,151,0.892,1.09,1.09,1.09,1.09,1.09,1.09,1.09
22111031,153,0.36,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111031,161,0.426,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22111031,169,0.356,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22120004,0,0.656,0.544,0.544,0.544,0.544,0.544,0.544,0.544
22120004,3,0.554,0.544,0.544,0.544,0.544,0.544,0.544,0.544
22120005,0,0.43,0.544,0.544,0.544,0.544,0.544,0.544,0.544
22120005,7,0.252,0.262,0.262,0.262,0.262,0.262,0.262,0.262
22120005,153,0.382,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22120015,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22120028,5,0.27,0.262,0.262,0.262,0.262,0.262,0.262,0.262
22120028,6,0.322,0.324,0.324,0.324,0.324,0.324,0.324,0.324
22120039,0,0.35,1.208,1.208,1.208,1.208,1.208,1.208,1.208
22120039,1,0.312,0.31,0.31,0.31,0.31,0.31,0.31,0.31
22120039,5,0.8,0.588,0.588,0.588,0.588,0.588,0.588,0.588
22120044,0,2.0,0.588,0.588,0.588,0.588,0.588,0.588,0.588
22130000,3,0.02,0.262,0.262,0.262,0.262,0.262,0.262,0.262
22130000,151,0.264,0.21,0.21,0.21,0.21,0.21,0.21,0.21
22130000,160,0.28,0.286,0.286,0.286,0.286,0.286,0.286,0.286
22130000,164,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
22130000,170,0.318,0.332,0.332,0.332,0.332,0.332,0.332,0.332
22130000,174,0.274,0.286,0.286,0.286,0.286,0.286,0.286,0.286
22130003,164,0.374,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22130007,3,0.08,0.262,0.262,0.262,0.262,0.262,0.262,0.262
22130007,152,0.216,0.21,0.21,0.21,0.21,0.21,0.21,0.21
22130011,1,0.482,0.478,0.478,0.478,0.478,0.478,0.478,0.478
22130011,5,0.374,0.37,0.37,0.37,0.37,0.37,0.37,0.37
22130016,7,0.37,0.364,0.364,0.364,0.364,0.364,0.364,0.364
22130016,165,0.274,0.28,0.28,0.28,0.28,0.28,0.28,0.28
22130016,174,0.4,0.402,0.402,0.402,0.402,0.402,0.402,0.402
22130017,3,0.02,0.015,0.015,0.015,0.015,0.015,0.015,0.015
